Age,Income,Employment_Years,Education_Level,Credit_Score,Loan_Purpose,Loan_Amount,Loan_Term_Days,Number_of_Open_Accounts,Outstanding Debt,DTI,Credit_Worthy
23,884285,20.71,3,741,2,30806,73,7,45061,5.1,1
19,739128,0.68,3,796,3,34093,248,2,42565,5.76,1
37,317883,12.77,3,703,1,15087,127,1,33844,10.65,1
45,579073,19.65,1,517,1,19189,46,1,20433,3.53,0
28,183052,28.52,3,889,3,66097,268,13,14434,7.89,1
21,776079,20.25,2,435,3,10093,128,3,27809,3.58,0
32,507918,15.2,3,783,1,11565,30,13,36246,7.14,1
23,891448,17.46,3,844,2,82171,94,14,62223,6.98,1
47,414825,10.9,4,704,2,32740,224,10,24903,6.0,1
55,86253,41.6,2,668,3,76097,316,2,14703,17.05,1
19,498697,23.48,3,836,1,12466,100,4,64212,12.88,1
32,635416,0.6,1,435,3,29995,71,14,44186,6.95,0
28,965645,0.88,4,706,2,1885,81,14,45708,4.73,1
25,181081,43.78,3,336,2,6342,300,8,74223,40.99,0
43,934013,9.97,4,754,3,24629,108,5,2417,0.26,1
62,655254,36.25,4,766,2,64499,102,5,32672,4.99,1
61,157854,2.62,1,691,1,6456,91,6,67679,42.87,1
22,643640,41.45,1,624,3,23329,16,13,208,0.03,1
23,439149,39.35,1,304,3,85480,110,12,50791,11.57,0
43,883586,25.7,2,572,3,18320,263,5,21512,2.43,0
21,683667,0.4,4,810,2,25751,160,5,24712,3.61,1
36,767567,11.6,3,757,1,97322,253,14,48015,6.26,1
37,781569,18.31,1,454,3,87763,89,7,25747,3.29,0
50,652585,20.7,1,659,3,88298,95,6,6025,0.92,1
37,751234,13.4,4,812,2,61950,272,13,30393,4.05,1
29,582634,1.48,4,791,1,34361,247,13,44532,7.64,1
64,132138,26.56,4,767,3,58579,361,14,22760,17.22,1
18,332916,23.59,3,727,2,50800,206,10,61587,18.5,1
43,60149,12.74,2,388,3,90996,345,11,45773,76.1,0
31,368844,1.71,2,477,2,42480,318,2,10798,2.93,0
55,702886,44.76,1,527,1,79933,286,13,59728,8.5,0
54,903190,21.69,2,661,2,88424,248,1,49270,5.46,1
28,498928,34.02,3,766,3,27111,67,1,42501,8.52,1
53,148447,20.35,2,421,3,48703,46,4,19987,13.46,0
30,481693,1.94,3,858,2,93693,43,2,18321,3.8,1
60,25695,13.93,1,656,1,18547,229,6,36952,143.81,0
20,583457,14.4,4,711,1,84040,301,12,40695,6.97,1
50,854379,37.73,3,882,3,86777,234,12,42613,4.99,1
23,198296,29.44,4,800,3,87943,199,9,53724,27.09,1
27,852297,12.39,1,303,2,75977,336,10,38570,4.53,0
22,700913,43.55,3,820,2,74778,32,11,53543,7.64,1
40,386645,14.47,3,741,2,64683,264,14,21200,5.48,1
27,342554,44.92,2,518,1,63156,113,10,71037,20.74,0
61,385898,44.83,3,881,1,81568,318,8,29667,7.69,1
19,373039,8.6,1,577,3,12117,276,4,5403,1.45,0
30,962320,14.07,4,700,3,98973,146,13,37550,3.9,1
57,730386,21.87,3,747,3,37980,357,12,15516,2.12,1
19,332849,29.88,1,342,2,1455,6,2,72594,21.81,0
37,212994,23.76,1,657,1,59036,340,1,64599,30.33,1
18,397844,43.62,3,847,3,64708,108,7,12100,3.04,1
54,880346,32.58,2,317,3,81722,260,10,22098,2.51,0
26,21881,9.54,3,497,3,87151,71,3,70720,323.2,0
34,977071,4.73,3,876,3,79856,340,14,53367,5.46,1
26,329509,30.98,2,375,3,47366,162,6,20464,6.21,0
28,541144,7.13,1,480,3,54654,100,5,49095,9.07,0
32,99211,35.45,3,849,1,58315,327,5,16697,16.83,1
41,176078,14.0,2,381,3,99238,33,12,8355,4.75,0
55,323342,14.71,4,709,1,60756,143,2,17913,5.54,1
52,960335,0.49,4,723,2,54204,244,14,45349,4.72,1
47,907081,31.55,2,511,1,76944,224,9,21881,2.41,0
48,953963,5.1,1,439,2,1069,214,11,70305,7.37,0
22,445659,34.78,2,559,1,98996,120,4,23952,5.37,0
61,979820,22.13,1,681,1,354,168,10,33167,3.39,1
31,247203,35.29,4,832,3,10406,349,1,55783,22.57,1
28,739846,26.28,3,853,1,65616,217,2,60931,8.24,1
26,681237,3.71,2,527,1,93177,355,9,17432,2.56,0
51,59553,34.45,4,635,3,68297,322,7,18327,30.77,1
29,527353,3.14,3,704,2,80945,217,10,27707,5.25,1
52,418138,21.54,4,853,3,18323,54,2,33008,7.89,1
52,929210,7.76,2,382,3,71541,208,7,39233,4.22,0
18,923450,33.86,2,305,3,68067,80,14,33440,3.62,0
57,680046,41.02,3,851,2,73392,151,4,51772,7.61,1
39,52766,24.94,2,522,1,70989,55,10,24304,46.06,0
46,838438,23.72,4,880,1,50217,5,2,35230,4.2,1
25,575710,34.38,3,706,3,1837,35,12,57746,10.03,1
28,923022,0.23,3,709,3,82504,349,4,51259,5.55,1
58,294349,41.3,4,866,1,32576,119,5,20533,6.98,1
54,499806,8.89,1,377,1,24425,197,13,72313,14.47,0
31,174599,44.29,3,855,1,12426,54,14,9335,5.35,1
47,786843,33.13,1,341,2,90222,259,4,37893,4.82,0
52,431659,34.84,4,761,2,13011,262,3,28485,6.6,1
38,429740,29.53,4,824,3,29180,343,6,28832,6.71,1
54,398621,21.22,3,879,2,22735,312,1,23666,5.94,1
22,48202,25.72,2,577,3,51279,2,8,29206,60.59,0
36,459358,2.09,3,756,1,5313,82,12,72591,15.8,1
31,868124,28.08,2,651,1,57242,350,5,43469,5.01,1
43,757744,28.17,1,694,3,63645,5,8,61726,8.15,1
21,40855,40.1,2,697,1,28040,174,10,66565,162.93,0
42,496963,22.75,3,730,3,48704,139,4,10369,2.09,1
62,735732,3.47,2,303,3,89001,193,4,21436,2.91,0
59,831527,13.78,4,808,3,74432,138,5,37363,4.49,1
42,976228,29.5,1,673,2,49219,297,5,13395,1.37,1
35,331385,10.77,4,792,3,82988,116,11,47754,14.41,1
57,647407,12.62,4,798,3,61704,44,6,54429,8.41,1
25,596291,36.92,4,891,3,16920,346,5,43039,7.22,1
56,481595,26.29,4,776,2,76602,289,5,56139,11.66,1
57,114837,22.88,2,511,1,67445,219,13,9881,8.6,0
31,243068,14.33,4,782,2,39414,56,8,20816,8.56,1
49,376427,32.89,2,506,3,40975,242,6,50299,13.36,0
55,953476,12.95,4,814,2,71141,258,2,25441,2.67,1
50,143805,33.17,3,760,1,96285,1,4,6515,4.53,1
40,900278,3.15,4,799,1,70893,289,4,37669,4.18,1
32,829359,38.9,3,833,3,80687,103,5,45370,5.47,1
50,927021,22.48,2,552,1,5009,292,6,49180,5.31,0
42,135657,19.73,1,378,2,92981,149,11,48070,35.43,0
34,873062,27.5,2,495,2,14966,84,5,70886,8.12,0
50,124428,28.09,1,561,1,42889,26,14,66566,53.5,0
64,142035,5.94,1,621,3,90504,175,14,72153,50.8,0
19,465563,34.03,4,863,3,94163,223,11,34765,7.47,1
31,250780,12.42,1,698,2,66097,129,6,50494,20.13,1
57,932676,40.72,2,631,1,28560,142,8,25825,2.77,1
57,761570,36.8,4,739,2,48600,346,4,64545,8.48,1
56,89518,15.58,1,535,2,68869,302,11,48462,54.14,0
23,196355,36.35,2,468,2,12228,298,3,18472,9.41,0
23,887758,16.04,1,306,3,5302,135,9,25257,2.85,0
20,687565,4.54,1,321,1,96894,55,3,33143,4.82,0
24,140243,43.28,4,771,1,65427,56,11,44330,31.61,1
25,819180,29.37,4,805,3,48065,76,8,3046,0.37,1
59,958601,20.52,2,438,2,31338,319,10,14729,1.54,0
32,416308,17.9,4,829,2,79358,339,12,29714,7.14,1
64,73311,14.61,4,729,3,49340,355,5,22660,30.91,1
46,42692,44.17,3,623,1,83683,132,9,6353,14.88,1
50,669242,6.06,3,880,3,68937,42,3,66942,10.0,1
47,699222,14.17,2,388,1,54389,352,10,41748,5.97,0
56,412179,21.85,4,848,1,32644,110,10,72687,17.63,1
44,241468,21.51,2,452,1,60164,70,8,29624,12.27,0
53,361651,21.21,3,772,2,97219,284,14,17717,4.9,1
46,100152,7.91,3,627,2,93149,126,13,73602,73.49,0
55,483685,6.52,3,832,3,81276,348,13,12565,2.6,1
50,549214,11.46,2,537,3,22513,296,7,19532,3.56,0
54,23969,41.15,4,621,2,82441,179,12,40761,170.06,0
44,55733,5.09,1,640,3,85769,298,7,3450,6.19,1
50,351999,34.08,4,748,2,48999,197,14,33778,9.6,1
21,61743,34.09,2,307,2,86991,261,11,7280,11.79,0
39,674481,36.44,3,854,1,88865,101,10,44810,6.64,1
19,190948,39.9,1,557,1,70069,61,9,5192,2.72,0
27,913877,11.84,2,583,2,33133,183,12,74045,8.1,0
22,40323,10.11,3,438,1,1478,297,8,5308,13.16,0
27,543293,20.95,2,345,2,6603,9,3,4217,0.78,0
50,298572,11.93,1,425,1,42874,206,14,66902,22.41,0
55,578866,33.04,3,720,3,59708,318,13,61744,10.67,1
30,630774,28.62,4,869,3,33717,54,6,9128,1.45,1
48,521793,39.37,2,331,2,4914,180,11,35537,6.81,0
64,346284,3.72,1,449,2,58435,104,6,496,0.14,0
53,801738,41.18,4,776,1,23863,126,5,69129,8.62,1
62,651613,13.2,1,320,1,10100,34,3,67769,10.4,0
41,890261,22.08,2,589,2,80924,165,9,61363,6.89,0
32,288508,19.74,1,437,3,3374,298,7,40817,14.15,0
46,411011,34.21,3,764,3,49968,270,4,19320,4.7,1
25,448565,18.91,1,364,2,54332,289,6,64296,14.33,0
22,676051,42.46,2,387,3,14327,118,5,13001,1.92,0
46,802259,40.61,3,766,2,17379,354,1,6720,0.84,1
64,639886,39.25,1,342,1,75004,92,2,69982,10.94,0
21,741827,3.21,1,670,3,65040,100,1,47942,6.46,1
29,196968,38.44,3,868,3,42836,87,9,39324,19.96,1
62,77062,35.17,4,440,1,96642,234,9,57321,74.38,0
19,248338,4.66,4,817,1,93016,124,5,11420,4.6,1
44,755122,4.83,3,703,3,93604,203,8,73437,9.73,1
48,689221,4.55,1,578,3,9751,32,10,26404,3.83,0
53,247909,0.51,4,769,2,79539,357,4,28299,11.42,1
53,526995,24.69,3,861,2,84563,39,1,37366,7.09,1
43,108302,43.8,2,340,3,7871,94,13,46234,42.69,0
60,608216,19.74,1,675,2,79096,10,13,70546,11.6,1
44,758591,24.33,2,389,1,70273,215,4,72772,9.59,0
22,585635,43.56,1,555,2,40934,100,7,56361,9.62,0
37,547409,11.48,4,860,2,3653,244,11,61967,11.32,1
28,103793,38.63,2,607,3,34217,58,2,38057,36.67,1
27,572452,24.59,2,444,2,89216,357,2,56966,9.95,0
57,307635,25.63,3,750,3,77158,320,6,64238,20.88,1
55,603510,15.44,4,830,3,62237,19,9,11196,1.86,1
23,698525,25.27,4,754,3,34990,357,3,39375,5.64,1
25,548036,3.29,1,483,1,93840,117,7,63540,11.59,0
40,570841,34.41,3,818,2,79528,136,10,26249,4.6,1
64,136547,12.81,3,412,2,8789,327,14,51455,37.68,0
43,604668,39.94,1,590,2,28163,296,9,26227,4.34,0
63,64331,16.55,2,548,3,57298,13,11,31710,49.29,0
60,771393,6.43,1,623,1,79698,101,13,42851,5.56,1
29,664905,31.31,1,391,3,1463,155,9,40538,6.1,0
43,845992,7.41,1,358,2,16791,82,11,63459,7.5,0
30,860297,33.92,3,712,3,2851,88,4,30950,3.6,1
57,984190,43.57,1,617,3,7882,105,2,25854,2.63,1
35,620198,35.08,1,393,2,83284,130,1,21998,3.55,0
42,417891,1.01,1,553,3,12640,272,6,35871,8.58,0
50,520201,26.99,4,874,3,46091,14,5,58530,11.25,1
64,522237,31.29,2,302,1,70975,128,6,63372,12.13,0
57,884418,37.15,2,320,3,92656,60,7,50608,5.72,0
60,751576,2.52,2,403,1,27709,227,9,58524,7.79,0
29,30068,21.6,2,620,2,56755,17,10,34115,113.46,0
61,598748,24.09,3,845,1,71484,45,10,41589,6.95,1
53,907198,7.61,3,712,3,63277,38,11,50367,5.55,1
21,590706,14.51,1,632,2,58496,124,6,29872,5.06,1
22,308350,19.81,3,808,3,16977,360,6,67498,21.89,1
54,672468,37.49,2,395,3,18505,64,13,62285,9.26,0
25,806719,41.82,4,792,1,48729,253,3,5691,0.71,1
59,42337,28.28,1,344,3,46333,262,13,15169,35.83,0
45,171738,17.77,1,361,1,21571,112,8,45876,26.71,0
48,267667,11.43,2,329,2,3402,102,9,70995,26.52,0
26,676521,44.2,2,569,2,80073,49,1,65117,9.63,0
46,534241,44.24,2,309,3,80148,277,6,10034,1.88,0
31,907099,41.62,3,899,1,98072,227,7,73584,8.11,1
57,372215,35.36,1,305,3,23611,23,11,4903,1.32,0
58,118064,14.66,2,674,3,5122,332,8,1497,1.27,1
39,976255,36.77,4,718,3,43339,185,12,61264,6.28,1
28,388655,18.4,1,311,3,71791,64,10,27665,7.12,0
40,502605,14.7,1,672,1,97116,157,11,42204,8.4,1
18,427974,33.52,3,891,3,59369,283,8,4583,1.07,1
63,478996,3.58,1,402,2,90968,149,7,29483,6.16,0
54,790974,2.19,2,669,1,58498,327,8,34812,4.4,1
38,547466,20.16,2,549,3,61995,363,11,36145,6.6,0
43,576119,20.05,4,781,1,69990,169,9,41477,7.2,1
63,153248,40.3,1,494,3,97483,133,10,31873,20.8,0
53,123306,5.68,1,564,2,35384,314,7,17008,13.79,0
40,184726,5.55,3,833,2,48740,132,3,50200,27.18,1
18,798580,6.64,2,684,2,75792,197,9,50717,6.35,1
57,964131,1.34,4,869,1,22553,135,1,33265,3.45,1
32,727910,3.23,2,648,2,98325,35,14,65231,8.96,1
38,394169,29.69,1,476,3,89394,220,8,27006,6.85,0
64,720270,19.42,1,654,3,74474,185,6,31476,4.37,1
26,110417,34.36,4,798,3,38076,5,11,16927,15.33,1
26,733611,44.67,1,329,1,13825,71,3,33684,4.59,0
27,448638,29.66,4,734,1,74973,342,9,46050,10.26,1
43,31984,2.27,4,362,2,76337,241,6,49484,154.71,0
58,109312,4.71,2,327,1,95447,351,7,39914,36.51,0
52,212458,39.65,4,845,3,43143,297,11,60935,28.68,1
42,103291,23.74,1,587,3,94952,331,2,42495,41.14,0
43,813567,37.12,3,768,3,77180,193,1,30289,3.72,1
28,544608,38.55,3,881,1,65090,168,1,25683,4.72,1
55,507387,41.75,1,551,3,87150,339,3,67126,13.23,0
19,697044,42.74,3,861,2,81963,236,11,30810,4.42,1
24,993417,24.97,3,858,1,46909,294,3,51743,5.21,1
35,895206,15.35,4,809,3,16805,298,8,59585,6.66,1
44,435105,43.28,3,796,3,63231,248,7,74216,17.06,1
51,771209,24.63,3,831,1,76115,165,10,8804,1.14,1
44,380215,2.89,3,841,1,62556,312,8,52573,13.83,1
34,724259,28.92,2,570,2,76959,71,1,60539,8.36,0
60,275083,26.45,1,487,1,78573,231,4,50609,18.4,0
61,948274,40.31,4,719,3,23189,55,8,43154,4.55,1
41,976825,29.39,3,719,2,67338,182,10,48658,4.98,1
42,654151,15.71,1,476,3,76040,22,2,9530,1.46,0
24,61777,43.48,3,398,3,99234,283,7,48209,78.04,0
23,66250,36.07,2,546,3,74016,105,8,37266,56.25,0
41,879466,28.37,2,623,1,87626,175,14,4584,0.52,1
50,911372,13.18,3,717,1,61496,294,9,61227,6.72,1
46,322274,16.81,3,851,3,98495,39,7,26691,8.28,1
60,495147,30.15,3,854,1,3977,60,12,10329,2.09,1
39,724706,3.24,2,588,3,84356,300,9,16239,2.24,0
43,940041,11.55,2,424,1,73312,299,2,39114,4.16,0
45,760122,32.13,1,619,1,31918,212,11,56236,7.4,1
38,35216,21.6,4,452,1,99984,155,1,21683,61.57,0
24,366293,18.11,4,768,2,48655,173,1,47443,12.95,1
34,547297,6.82,2,445,1,42468,23,11,71189,13.01,0
37,896336,19.88,4,744,2,48280,240,12,16762,1.87,1
58,704687,34.68,3,809,2,89766,209,4,62189,8.83,1
37,165281,11.88,1,319,2,98877,122,1,11177,6.76,0
39,723803,0.24,2,590,3,49521,253,7,57499,7.94,0
45,559317,30.08,2,546,1,26720,141,8,48330,8.64,0
57,480829,43.77,4,833,3,60639,340,3,25640,5.33,1
24,754803,27.31,3,790,2,17177,362,14,67753,8.98,1
18,208069,5.4,1,502,1,12763,320,1,27416,13.18,0
49,384315,14.43,4,708,3,83435,153,3,32658,8.5,1
30,134456,39.04,2,479,2,47385,214,2,38218,28.42,0
47,344703,10.47,2,455,3,51335,308,6,52623,15.27,0
40,871324,27.35,4,718,3,17719,48,11,17901,2.05,1
36,876841,18.12,3,802,1,69603,317,7,11243,1.28,1
49,946139,9.35,1,545,1,57577,17,9,37192,3.93,0
47,839497,36.6,1,384,3,27588,296,5,47602,5.67,0
46,786759,33.43,1,618,1,78847,331,4,64931,8.25,1
62,402688,29.77,1,650,1,21269,345,1,17911,4.45,1
46,389484,10.64,3,834,3,30473,69,11,14979,3.85,1
47,53783,4.4,2,336,1,32769,85,14,49941,92.86,0
33,54152,25.93,2,644,1,55377,282,6,13607,25.13,1
57,603029,24.92,1,391,2,72270,208,11,32032,5.31,0
36,913481,8.48,1,591,1,55220,40,8,7422,0.81,0
35,464718,2.53,1,316,2,66476,96,4,55730,11.99,0
18,573380,3.63,4,789,3,54335,250,1,2549,0.44,1
31,168725,44.67,4,791,2,34329,136,14,7253,4.3,1
64,511215,35.26,2,464,3,86954,73,14,47625,9.32,0
19,774924,41.49,2,552,1,15505,301,5,70145,9.05,0
45,191541,8.78,1,604,1,15947,273,10,6746,3.52,1
47,798424,43.23,4,780,2,23647,169,5,35831,4.49,1
55,368627,6.42,3,883,3,6675,333,2,38050,10.32,1
21,928017,22.91,4,733,1,95759,198,6,37531,4.04,1
18,341898,37.34,2,548,2,4943,347,10,30223,8.84,0
25,705338,15.74,4,857,2,93087,106,9,9641,1.37,1
46,107592,19.12,2,478,2,7839,101,14,33735,31.35,0
56,376687,5.77,1,692,1,14952,359,6,55229,14.66,1
20,63169,5.53,3,319,3,51761,235,8,57708,91.35,0
49,461503,27.88,1,446,1,9257,280,10,23566,5.11,0
27,74745,30.4,1,367,1,88042,329,3,44055,58.94,0
27,654456,34.98,3,776,3,73068,106,10,53569,8.19,1
36,658273,25.05,3,801,2,18937,35,2,66046,10.03,1
63,811975,29.06,3,839,1,80784,157,4,72352,8.91,1
51,731752,0.61,2,680,2,76830,273,12,57648,7.88,1
50,41067,7.3,1,372,2,98227,240,9,58313,141.99,0
40,71033,44.32,2,506,3,14919,207,9,42399,59.69,0
45,65256,3.42,3,512,3,72261,245,3,60866,93.27,0
49,765993,30.55,2,378,3,7504,93,12,32409,4.23,0
24,259455,7.92,3,812,2,14774,109,13,64226,24.75,1
46,522264,32.25,4,832,2,76143,306,1,3501,0.67,1
25,220417,31.77,3,896,1,86023,114,1,51352,23.3,1
18,959695,10.54,1,324,2,18797,24,4,12547,1.31,0
20,106803,12.13,1,400,3,85183,293,4,53054,49.67,0
41,223814,29.46,1,544,3,60763,252,11,40527,18.11,0
40,138843,17.55,2,330,3,23670,267,12,38154,27.48,0
25,499809,8.75,1,589,3,28137,355,10,230,0.05,0
64,573280,32.93,3,868,2,95719,209,6,51639,9.01,1
54,232603,6.94,4,767,3,38082,55,5,24726,10.63,1
20,593091,38.5,1,514,1,68624,27,6,33678,5.68,0
50,392119,23.16,2,421,2,5256,323,10,50130,12.78,0
45,738837,4.76,4,865,3,38380,2,7,31880,4.31,1
64,164282,31.23,1,345,1,75424,68,7,4718,2.87,0
25,496545,23.36,1,368,3,60806,148,10,5190,1.05,0
51,46270,13.41,4,326,2,79821,319,14,1866,4.03,0
52,475224,19.01,1,470,2,84370,328,10,4541,0.96,0
49,942701,13.43,2,544,1,10071,130,9,57442,6.09,0
41,789217,11.84,3,898,2,53240,83,6,37583,4.76,1
31,551740,7.36,3,744,1,43508,42,8,19907,3.61,1
49,323630,16.32,4,717,3,52122,156,2,20803,6.43,1
63,34859,11.29,3,587,2,6587,157,8,72355,207.56,0
60,964740,30.75,1,548,3,21097,107,9,64762,6.71,0
33,969403,30.77,1,301,3,46556,284,4,57277,5.91,0
21,576371,22.58,2,319,2,78088,188,5,74574,12.94,0
54,874140,35.01,3,885,3,81008,105,5,69722,7.98,1
38,131462,37.86,4,737,1,59516,112,2,36995,28.14,1
31,167735,26.09,1,556,1,44867,133,5,7693,4.59,0
48,899508,27.85,4,896,1,79070,271,9,58397,6.49,1
35,269737,12.73,1,548,2,78052,110,4,20000,7.41,0
24,301197,40.27,1,697,3,84884,73,10,72342,24.02,1
27,162157,1.09,2,452,3,28294,346,3,3158,1.95,0
24,968068,15.69,3,836,3,33885,293,14,34874,3.6,1
50,371889,32.48,2,521,3,58776,143,7,37945,10.2,0
40,210167,3.6,3,888,1,8473,260,8,33762,16.06,1
38,613805,8.24,4,879,2,30383,245,13,31679,5.16,1
36,696513,26.52,3,835,1,56011,340,13,19283,2.77,1
36,156319,25.2,4,315,1,95051,155,10,55009,35.19,0
53,948057,33.25,1,413,2,26514,149,6,12794,1.35,0
46,434027,36.57,4,707,2,14478,60,6,26543,6.12,1
35,246453,5.79,4,722,1,83972,86,13,39815,16.16,1
19,943639,0.83,1,372,3,4800,192,5,15638,1.66,0
18,156645,31.03,4,523,2,64243,327,11,74775,47.74,0
64,532035,13.56,4,733,2,63329,182,6,49758,9.35,1
22,623555,28.17,1,544,1,14001,287,9,48180,7.73,0
37,158261,6.77,1,537,3,90474,273,2,9257,5.85,0
28,362221,21.11,1,317,2,22697,255,10,54948,15.17,0
59,456862,22.7,3,808,1,33528,7,11,518,0.11,1
19,358767,26.33,1,343,2,35787,126,3,14677,4.09,0
20,151004,23.09,1,442,3,29593,83,1,52960,35.07,0
40,525187,22.31,4,714,1,51324,28,4,10782,2.05,1
29,73687,14.97,2,392,1,31952,266,2,64759,87.88,0
37,874744,3.2,2,682,3,11032,283,6,25679,2.94,1
22,127615,4.03,3,676,1,88645,251,13,70329,55.11,0
54,413120,19.52,3,722,3,64302,188,1,49963,12.09,1
55,571852,16.01,2,514,1,33683,299,8,45529,7.96,0
47,835267,23.23,2,548,3,47378,69,10,8269,0.99,0
26,999091,13.72,1,370,2,93630,319,6,18694,1.87,0
51,551985,30.96,4,808,2,29965,326,9,25602,4.64,1
61,624453,38.88,1,587,2,12389,99,12,69976,11.21,0
52,749282,13.45,3,813,1,93929,193,6,48140,6.42,1
39,954550,8.68,2,459,3,70370,227,10,13228,1.39,0
61,602111,5.23,3,732,3,85649,182,7,43702,7.26,1
41,990874,27.73,1,470,2,35621,327,5,71926,7.26,0
34,553903,19.97,3,712,2,6605,93,14,62426,11.27,1
27,526554,8.46,3,815,2,44427,143,8,45230,8.59,1
47,942564,29.39,4,836,3,65619,203,8,25269,2.68,1
63,936931,6.68,3,889,2,70321,132,10,62449,6.67,1
40,620724,24.94,1,484,1,18509,267,9,66869,10.77,0
49,735879,23.72,4,875,2,19617,134,12,11230,1.53,1
34,402706,33.04,3,870,2,44633,179,6,45293,11.25,1
34,877549,2.48,1,622,3,30575,186,1,6301,0.72,1
31,998662,39.95,2,508,1,15427,18,9,39935,4.0,0
26,579070,31.63,4,731,3,55444,323,3,25821,4.46,1
57,98533,9.73,3,628,1,3771,97,9,65874,66.85,0
19,260011,8.25,3,804,1,70577,34,7,36063,13.87,1
62,209327,19.42,4,887,2,92008,300,14,49489,23.64,1
42,525168,36.79,1,684,2,78102,351,12,13446,2.56,1
56,92684,37.93,3,884,3,50856,187,13,1868,2.02,1
26,470134,23.42,1,668,3,83922,347,3,66031,14.05,1
39,801453,38.74,4,805,3,45059,111,9,4643,0.58,1
60,759644,0.24,3,768,1,70224,247,14,8353,1.1,1
63,885990,1.58,2,531,3,28180,71,7,2037,0.23,0
21,236621,41.03,2,512,1,24644,309,7,64093,27.09,0
43,255295,34.89,2,624,1,76447,327,7,14723,5.77,1
46,887854,20.28,4,895,1,18833,212,2,48325,5.44,1
62,795723,33.91,3,760,1,54311,309,11,16187,2.03,1
51,801712,43.0,4,707,1,40796,108,4,59086,7.37,1
40,962760,34.74,3,706,2,48193,177,10,58898,6.12,1
54,967509,37.91,2,469,1,47142,228,8,2282,0.24,0
28,813070,34.23,2,455,1,53616,19,12,42829,5.27,0
23,843851,7.57,1,369,2,95695,322,2,1602,0.19,0
35,577665,37.51,4,875,2,37587,248,13,44788,7.75,1
38,650532,8.78,4,753,2,40949,209,4,1300,0.2,1
59,718476,40.17,1,469,3,14650,216,10,58055,8.08,0
53,974138,20.64,2,335,3,76500,201,8,14795,1.52,0
58,757651,30.46,2,621,1,91030,257,12,53320,7.04,1
55,567670,22.38,4,858,1,84697,106,3,16027,2.82,1
51,790663,4.23,3,892,1,49799,311,12,18431,2.33,1
34,731423,13.08,2,558,1,78260,271,6,47786,6.53,0
54,173466,44.27,1,550,2,90570,271,12,21859,12.6,0
42,874221,43.23,1,312,3,68997,121,2,3333,0.38,0
55,254318,14.42,1,458,2,13807,245,8,33872,13.32,0
29,392778,44.83,4,728,3,2024,66,8,68714,17.49,1
40,151936,38.05,4,756,2,95123,228,12,28171,18.54,1
59,906004,27.49,4,860,1,78283,137,13,63456,7.0,1
39,977726,1.81,4,880,3,97370,194,1,38810,3.97,1
38,951170,40.57,1,565,1,29118,194,3,74264,7.81,0
44,667952,25.08,1,529,3,87263,146,14,39829,5.96,0
48,696315,39.08,4,762,3,21131,145,2,45330,6.51,1
23,392818,37.55,4,772,1,65264,72,7,63207,16.09,1
44,123533,37.49,1,492,1,68337,354,7,24709,20.0,0
57,888277,31.42,4,807,1,49673,192,4,15957,1.8,1
51,267997,13.11,4,800,2,16819,44,12,63757,23.79,1
29,89590,15.13,4,651,3,9818,157,12,62810,70.11,0
62,409919,13.88,4,796,3,156,16,8,4090,1.0,1
24,348615,0.9,2,557,3,15452,78,3,30789,8.83,0
27,523692,26.22,4,809,1,47920,52,14,74479,14.22,1
62,501530,31.45,1,429,3,68783,2,9,15841,3.16,0
34,535795,38.42,1,422,3,69173,232,5,3251,0.61,0
43,325442,6.31,1,415,1,88448,61,14,55715,17.12,0
38,476324,24.49,1,529,1,821,132,13,67795,14.23,0
45,264936,0.36,4,736,3,82405,52,14,55510,20.95,1
63,593212,4.28,2,685,2,52069,297,2,10769,1.82,1
19,429925,2.44,3,760,1,40294,180,9,64685,15.05,1
60,29726,32.65,3,533,2,46656,31,1,48000,161.47,0
18,211896,3.65,3,739,2,46875,155,11,18168,8.57,1
53,60542,32.24,3,490,2,79982,121,8,50246,82.99,0
43,433461,11.23,1,324,2,39983,51,6,48506,11.19,0
46,54753,39.5,4,678,1,11011,95,12,5118,9.35,1
38,886220,36.59,4,865,3,65895,176,1,40707,4.59,1
28,303460,43.1,3,736,3,20972,11,14,10334,3.41,1
57,253979,39.77,3,726,1,74427,12,4,14923,5.88,1
28,628986,42.0,2,639,1,73172,355,3,57862,9.2,1
53,298104,38.64,2,477,2,86068,45,7,25318,8.49,0
56,50791,31.2,2,343,2,98386,290,7,71657,141.08,0
57,307360,7.66,1,371,1,44637,205,6,2478,0.81,0
52,969971,12.23,4,831,3,85177,219,14,6138,0.63,1
51,346571,9.57,1,521,2,16960,328,10,35645,10.29,0
64,918902,27.16,1,610,1,70919,256,14,38598,4.2,1
41,999551,22.66,4,772,1,30843,248,10,8596,0.86,1
39,617578,39.02,2,532,1,42659,21,12,25903,4.19,0
22,591302,42.87,4,711,2,73041,41,8,46262,7.82,1
50,155150,18.22,3,841,1,96817,278,7,6687,4.31,1
53,70519,22.79,2,553,3,32305,277,4,43110,61.13,0
64,810474,43.72,4,862,1,90044,195,7,63040,7.78,1
37,593340,12.43,1,305,2,17745,71,1,59738,10.07,0
36,34389,35.66,4,346,3,71959,270,3,51803,150.64,0
52,378105,10.14,2,670,3,71573,335,2,50030,13.23,1
60,612399,30.67,3,767,1,50834,73,7,34655,5.66,1
34,911490,11.41,1,553,1,30531,308,9,66840,7.33,0
62,900147,39.77,3,892,3,61014,199,5,50893,5.65,1
